Year,Make,Model,Display Name,Type,Wh Per Mile,Battery (kWh),Fuel Type 1,Fuel 1 Range (miles),Fuel Type 2,Fuel 2 Range (miles),Charger A Desc,"Hours to Charge (240V, Charger A)",Charger B Desc,"Hours to Charge (240V, Charger B)",Doe Id
2016,smart,fortwo electric drive convertible,,EV,315,21,Electricity,68,,,,6,,0,36860
2017,smart,fortwo electric drive convertible,,EV,330,19,Electricity,57,,,,3,,0,39603
2018,smart,fortwo electric drive convertible,,EV,330,19,Electricity,57,,,,3,,0,39785
2011,smart,fortwo electric drive coupe,,EV,390,25,Electricity,63,,,,8,,0,31065
2013,smart,fortwo electric drive coupe,,EV,320,22,Electricity,68,,,,6,,0,33306
2014,smart,fortwo electric drive coupe,,EV,320,22,Electricity,68,,,,6,,0,34394
2015,smart,fortwo electric drive coupe,,EV,315,21,Electricity,68,,,,6,,0,35859
2016,smart,fortwo electric drive coupe,,EV,315,21,Electricity,68,,,,6,,0,36861
2017,smart,fortwo electric drive coupe,,EV,310,18,Electricity,58,,,,3,,0,39192
2018,smart,fortwo electric drive coupe,,EV,310,18,Electricity,58,,,,3,,0,39784
2019,Subaru,Crosstrek Hybrid AWD,,Plug-in Hybrid,380,6,Regular Gasoline,0,Electricity,17,,2,,0,41134
2020,Subaru,Crosstrek Hybrid AWD,,Plug-in Hybrid,380,6,Regular Gasoline,0,Electricity,17,,2,,0,42292
2021,Subaru,Crosstrek Hybrid AWD,,Plug-in Hybrid,380,6,Regular Gasoline,0,Electricity,17,,2,,0,43687
2024,Subaru,Solterra AWD,,,,72,,,,,,,,,
2024,Subaru,Solterra Limited/Touring AWD,,,,72,,,,,,,,,
2017,Tesla,Model 3 Long Range,,EV,268,83,Electricity,310,,,standard charger,12,80 amp dual charger,8.5,39769
2018,Tesla,Model 3 Long Range,,EV,258,80,Electricity,310,,,standard charger,10,80 amp dual charger,8.5,39836
2019,Tesla,Model 3 Long Range,,EV,258,80,Electricity,310,,,standard charger,10,with 48A high power charger connector option,8.5,41189
2020,Tesla,Model 3 Long Range,,EV,258,85,Electricity,330,,,standard charger,10,with 48A high power charger connector option,8.5,42274
2018,Tesla,Model 3 Long Range  AWD,Model 3 LR AWD,EV,289,90,Electricity,310,,,standard charger,10,80 amp dual charger,8.5,40385
2018,Tesla,Model 3 Long Range  AWD Performance,Model 3 LR AWD Performance,EV,289,90,Electricity,310,,,standard charger,10,80 amp dual charger,8.5,40386
2019,Tesla,Model 3 Long Range AWD,Model 3 LR AWD,EV,289,90,Electricity,310,,,standard charger,10,with 48A high power charger connector option,8.5,41190
2020,Tesla,Model 3 Long Range AWD,Model 3 LR AWD,EV,279,90,Electricity,322,,,standard charger,10,with 48A high power charger connector option,8.5,42275
2021,Tesla,Model 3 Long Range AWD,,EV,251,89,Electricity,353,,,standard charger,11.2,with 48A high power charger connector option,9.3,43401
2022,Tesla,Model 3 Long Range AWD,,EV,258,92,Electricity,358,,,standard charger,11.5,with 48A high power charger connector option,9.6,45011
2024,Tesla,Model 3 Long Range AWD,,,,81.4,,,,,,,,,
2019,Tesla,Model 3 Long Range AWD Performance,Model 3 LR AWD Performance,EV,289,90,Electricity,310,,,standard charger,10,with 48A high power charger connector option,8.5,41191
2020,Tesla,Model 3 Long Range Performance AWD (18in),"Model 3 LR Performance AWD (18"")",EV,280,90,Electricity,322,,,standard charger,10,with 48A high power charger connector option,8.5,42279
2020,Tesla,Model 3 Long Range Performance AWD (19in),"Model 3 LR Performance AWD (19"")",EV,291,89,Electricity,304,,,standard charger,10,with 48A high power charger connector option,8.5,42280
2020,Tesla,Model 3 Long Range Performance AWD (20in),"Model 3 LR Performance AWD (20"")",EV,298,89,Electricity,299,,,standard charger,10,with 48A high power charger connector option,8.5,42281
2018,Tesla,Model 3 Mid Range,,EV,274,71,Electricity,260,,,standard charger,10,80 amp dual charger,8.5,41056
2019,Tesla,Model 3 Mid Range,,EV,274,73,Electricity,264,,,standard charger,10,with 48A high power charger connector option,8.5,41188
2020,Tesla,Model 3 Mid Range,,EV,274,73,Electricity,264,,,standard charger,10,with 48A high power charger connector option,8.5,42276
2021,Tesla,Model 3 Performance AWD,,EV,299,94,Electricity,315,,,standard charger,11.6,with 48A high power charger connector option,9.6,43402
