Year,Make,Model,Display Name,Type,Wh Per Mile,Battery (kWh),Fuel Type 1,Fuel 1 Range (miles),Fuel Type 2,Fuel 2 Range (miles),Charger A Desc,"Hours to Charge (240V, Charger A)",Charger B Desc,"Hours to Charge (240V, Charger B)",Doe Id
2020,Hyundai,Ioniq Plug-in Hybrid,,Plug-in Hybrid,280,8,Regular Gasoline,0,Electricity,29,,2.3,,0,42290
2021,Hyundai,Ioniq Plug-in Hybrid,,Plug-in Hybrid,280,8,Regular Gasoline,0,Electricity,29,,2.25,,0,43725
2022,Hyundai,Ioniq Plug-in Hybrid,,Plug-in Hybrid,280,8,Regular Gasoline,0,Electricity,29,,2.25,,0,44160
2019,Hyundai,Kona Electric,,EV,280,72,Electricity,258,,,,9,,0,40585
2020,Hyundai,Kona Electric,,EV,274,71,Electricity,258,,,,9,,0,42089
2021,Hyundai,Kona Electric,,EV,270,70,Electricity,258,,,,9,,0,43747
2022,Hyundai,Kona Electric,,EV,280,72,Electricity,258,,,,9.5,,0,44444
2024,Hyundai,Kona Electric Long Range,,,,48,,,,,,,,,
2022,Hyundai,Santa Fe Plug-in Hybrid,,Plug-in Hybrid,440,14,Regular Gasoline,0,Electricity,31,,3.4,,0,44024
2016,Hyundai,Sonata Plug-in Hybrid,,Plug-in Hybrid,340,9,Regular Gasoline,0,Electricity,27,,2.7,,0,36998
2017,Hyundai,Sonata Plug-in Hybrid,,Plug-in Hybrid,340,9,Regular Gasoline,0,Electricity,27,,2.7,,0,38046
2018,Hyundai,Sonata Plug-in Hybrid,,Plug-in Hybrid,340,10,Regular Gasoline,0,Electricity,28,,2.7,,0,40066
2019,Hyundai,Sonata Plug-in Hybrid,,Plug-in Hybrid,340,10,Regular Gasoline,0,Electricity,28,,2.7,,0,41144
2022,Hyundai,Tucson Plug-in Hybrid,,Plug-in Hybrid,420,14,Regular Gasoline,0,Electricity,33,,1.7,,0,44360
2024,Hyundai,Tucson Plug-in Hybrid,,,,13,,,,,,,,,
2019,Jaguar,I-Pace,,EV,442,104,Electricity,234,,,,13,,0,40986
2020,Jaguar,I-Pace,,EV,443,104,Electricity,234,,,,13,,0,41413
2021,Jaguar,I-Pace EV320,,EV,443,104,Electricity,234,,,,13,,0,43888
2021,Jaguar,I-Pace EV400,,EV,443,104,Electricity,234,,,,13,,0,43889
2022,Jeep,Grand Cherokee 4xe,,Plug-in Hybrid,580,15,Regular Gasoline,0,Electricity,26,,3.4,,0,45148
2024,Jeep,Grand Cherokee 4xe,,,,17,,,,,,,,,
2021,Jeep,Wrangler 4dr 4xe,,Plug-in Hybrid,680,15,Regular Gasoline,0,Electricity,22,,2.4,,0,43801
2022,Jeep,Wrangler 4dr 4xe,,Plug-in Hybrid,680,15,Regular Gasoline,0,Electricity,22,,2.4,,0,44932
2024,Jeep,Wrangler 4dr 4xe,,,,17,,,,,,,,,
2021,Kandi,K27,,EV,295,17,Electricity,59,,,,7,,0,43640
2021,Karma,GS-6 (21-inch wheels),,Plug-in Hybrid,480,29,Premium Gasoline,0,Electricity,61,,6.25,,0,43606
2021,Karma,GS-6 (22-inch wheels),,Plug-in Hybrid,540,29,Premium Gasoline,0,Electricity,54,,6.25,,0,43607
2018,Karma,Revero,,Plug-in Hybrid,560,21,Premium Gasoline,0,Electricity,37,,3.75,,0,39409
2019,Karma,Revero,,Plug-in Hybrid,560,21,Premium Gasoline,0,Electricity,37,,3.75,,0,41978
2020,Karma,Revero GT (21-inch wheels),,Plug-in Hybrid,480,29,Premium Gasoline,0,Electricity,61,,6.25,,0,42291
2021,Karma,Revero GT (21-inch wheels),,Plug-in Hybrid,480,29,Premium Gasoline,0,Electricity,61,,6.25,,0,43481
2021,Karma,Revero GT (22-inch wheels),,Plug-in Hybrid,540,29,Premium Gasoline,0,Electricity,54,,6.25,,0,43482
2022,Kia,EV6 AWD (Long Range),,EV,317,87,Electricity,274,,,,8.4,,0,44925
2024,Kia,EV6 Long Range RWD,,,,77,,,,,,,,,
2022,Kia,EV6 RWD (Long Range),,EV,290,90,Electricity,310,,,,8.7,,0,44926
2022,Kia,EV6 RWD (Standard Range),,EV,290,67,Electricity,232,,,,6.3,,0,44927
2024,Kia,EV9 Long Range AWD,,,,99,,,,,,,,,
2024,Kia,EV9 Long Range AWD GT-Line,,,,99,,,,,,,,,
2024,Kia,EV9 Long Range RWD,,,,99,,,,,,,,,
2024,Kia,EV9 Standard Range RWD,,,,76,,,,,,,,,
2019,Kia,Niro Electric,,EV,300,72,Electricity,239,,,,9.5,,0,41060
2020,Kia,Niro Electric,,EV,300,72,Electricity,239,,,,9.5,,0,42514
2021,Kia,Niro Electric,,EV,300,72,Electricity,239,,,,9.5,,0,43820
2022,Kia,Niro Electric,,EV,300,72,Electricity,239,,,,9.5,,0,44445
2024,Kia,Niro Electric,,,,64,,,,,,,,,
2018,Kia,Niro Plug-in Hybrid,,Plug-in Hybrid,320,8,Regular Gasoline,0,Electricity,26,,2.25,,0,39799
2019,Kia,Niro Plug-in Hybrid,,Plug-in Hybrid,320,8,Regular Gasoline,0,Electricity,26,,2.25,,0,40863
2020,Kia,Niro Plug-in Hybrid,,Plug-in Hybrid,320,8,Regular Gasoline,0,Electricity,26,,2.25,,0,42354
2021,Kia,Niro Plug-in Hybrid,,Plug-in Hybrid,320,8,Regular Gasoline,0,Electricity,26,,2.25,,0,43686
2022,Kia,Niro Plug-in Hybrid,,Plug-in Hybrid,320,8,Regular Gasoline,0,Electricity,26,,2.25,,0,44211
2017,Kia,Optima Plug-in Hybrid,,Plug-in Hybrid,330,10,Regular Gasoline,0,Electricity,29,,2.7,,0,38406
2018,Kia,Optima Plug-in Hybrid,,Plug-in Hybrid,330,10,Regular Gasoline,0,Electricity,29,,2.7,,0,39783
2019,Kia,Optima Plug-in Hybrid,,Plug-in Hybrid,330,10,Regular Gasoline,0,Electricity,29,,2.7,,0,40811
2020,Kia,Optima Plug-in Hybrid,,Plug-in Hybrid,330,9,Regular Gasoline,0,Electricity,28,,2.7,,0,41529
2022,Kia,Sorento Plug-in Hybrid,,Plug-in Hybrid,430,14,Regular Gasoline,0,Electricity,32,,3.4,,0,44361
2015,Kia,Soul Electric,,EV,319,30,Electricity,93,,,,4,,0,35601
2016,Kia,Soul Electric,,EV,319,30,Electricity,93,,,,4,,0,36553
2017,Kia,Soul Electric,,EV,319,30,Electricity,93,,,,4,,0,38168
2018,Kia,Soul Electric,,EV,312,35,Electricity,111,,,,5,,0,39322
2019,Kia,Soul Electric,,EV,312,35,Electricity,111,,,,5,,0,40768
2020,Kia,Soul Electric,,EV,300,73,Electricity,243,,,,9.5,,0,41235
2020,Kia,Soul Electric,,EV,291,71,Electricity,243,,,,9.5,,0,43412
2024,Kia,Sportage Plug-in Hybrid,,,,13,,,,,,,,,
2019,Land,Rover Range Rover PHEV,,Plug-in Hybrid,800,15,Premium Gasoline,0,Electricity,19,,3,,0,42373
2020,Land,Rover Range Rover PHEV,,Plug-in Hybrid,800,15,Premium Gasoline,0,Electricity,19,,3,,0,42375
2021,Land,Rover Range Rover PHEV,,Plug-in Hybrid,800,15,Premium Gasoline,0,Electricity,19,,3,,0,43321
2019,Land,Rover Range Rover Sport PHEV,,Plug-in Hybrid,800,15,Premium Gasoline,0,Electricity,19,,3,,0,42374
2020,Land,Rover Range Rover Sport PHEV,,Plug-in Hybrid,800,15,Premium Gasoline,0,Electricity,19,,3,,0,42376
2021,Land,Rover Range Rover Sport PHEV,,Plug-in Hybrid,800,15,Premium Gasoline,0,Electricity,19,,3,,0,43322
